reward,horizon,epsilon,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
245.25,8192.0,0.3,20.0,20.0,0.0005,0.005,2048.0,512.0,0.98
244.65,8192.0,0.3,8.0,20.0,0.001,0.001,2048.0,256.0,0.98
244.36,8192.0,0.3,16.0,20.0,0.0005,0.005,2048.0,512.0,0.98
244.20,8192.0,0.3,4.0,20.0,0.0001,0.0001,2048.0,256.0,0.98
242.95,8192.0,0.3,4.0,8.0,0.0001,0.001,2048.0,256.0,0.98
242.74,8192.0,0.3,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
242.68,8192.0,0.2,4.0,8.0,0.0001,0.005,2048.0,256.0,0.98
242.66,8192.0,0.1,4.0,8.0,0.0001,0.001,2048.0,256.0,0.98
242.59,8192.0,0.3,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
242.53,8192.0,0.3,4.0,8.0,0.001,0.001,2048.0,256.0,0.98
242.52,8192.0,0.3,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
241.96,8192.0,0.2,4.0,8.0,0.005,0.001,2048.0,256.0,0.98
240.96,8192.0,0.2,4.0,8.0,0.0005,0.001,2048.0,256.0,0.98
240.88,8192.0,0.2,4.0,8.0,0.001,0.0005,2048.0,256.0,0.98
240.48,8192.0,0.2,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
240.05,8192.0,0.1,4.0,8.0,0.001,0.005,2048.0,256.0,0.98
238.92,8192.0,0.3,8.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
237.98,8192.0,0.3,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
237.67,8192.0,0.2,4.0,8.0,0.0001,0.001,2048.0,256.0,0.98
236.34,8192.0,0.3,8.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
235.96,8192.0,0.3,20.0,20.0,0.0001,0.001,2048.0,256.0,0.98
235.43,8192.0,0.1,4.0,8.0,0.0001,0.001,2048.0,256.0,0.98
235.33,8192.0,0.3,20.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
235.32,8192.0,0.2,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
233.47,8192.0,0.2,4.0,8.0,0.0001,0.005,2048.0,256.0,0.98
233.36,8192.0,0.2,4.0,8.0,0.0001,0.0005,2048.0,256.0,0.95
233.17,8192.0,0.3,20.0,20.0,0.0005,0.005,2048.0,512.0,0.98
232.19,8192.0,0.1,4.0,8.0,0.0005,0.005,2048.0,256.0,0.98
231.61,8192.0,0.1,4.0,8.0,0.0001,0.005,2048.0,256.0,0.98
231.08,8192.0,0.3,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
230.27,8192.0,0.2,4.0,8.0,0.001,0.005,2048.0,256.0,0.98
229.92,8192.0,0.3,4.0,8.0,0.0005,0.0001,2048.0,256.0,0.98
229.05,8192.0,0.3,8.0,20.0,0.0005,0.005,2048.0,256.0,0.98
228.54,8192.0,0.3,4.0,8.0,0.001,0.0005,2048.0,256.0,0.98
226.63,8192.0,0.3,8.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
225.08,8192.0,0.3,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
224.52,8192.0,0.3,20.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
223.08,8192.0,0.2,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
222.54,8192.0,0.3,8.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
221.66,8192.0,0.3,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
218.59,8192.0,0.3,4.0,8.0,0.005,0.001,2048.0,256.0,0.98
217.55,8192.0,0.2,4.0,8.0,0.0001,0.0005,2048.0,256.0,0.98
216.95,8192.0,0.3,4.0,8.0,0.0001,0.005,2048.0,256.0,0.98
216.38,8192.0,0.2,4.0,8.0,0.005,0.005,2048.0,256.0,0.98
216.23,8192.0,0.3,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
213.69,8192.0,0.1,4.0,8.0,0.001,0.001,2048.0,256.0,0.98
213.00,8192.0,0.3,4.0,20.0,0.005,0.0005,2048.0,256.0,0.98
212.42,8192.0,0.3,4.0,8.0,0.001,0.0005,2048.0,256.0,0.98
210.59,8192.0,0.1,4.0,8.0,0.001,0.005,2048.0,256.0,0.98
209.40,8192.0,0.1,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.98
207.33,8192.0,0.2,4.0,8.0,0.005,0.0005,2048.0,256.0,0.98
206.15,8192.0,0.3,4.0,8.0,0.0001,0.0001,2048.0,256.0,0.98
205.99,8192.0,0.1,4.0,8.0,0.001,0.0005,2048.0,256.0,0.98
205.78,8192.0,0.2,4.0,8.0,0.005,0.005,2048.0,256.0,0.95
205.38,8192.0,0.1,4.0,8.0,0.0005,0.005,2048.0,256.0,0.98
201.00,8192.0,0.1,4.0,8.0,0.001,0.001,2048.0,256.0,0.98
200.44,8192.0,0.3,8.0,20.0,0.001,0.001,2048.0,256.0,0.98
