reward,theta,sigma,lr_p,lr_v,mbs,bc,tau
51.04,0.2,0.15,0.0001,0.005,128.0,500000.0,0.0005
50.79,0.2,0.15,0.001,0.0001,128.0,500000.0,0.005
50.71,0.2,0.15,0.001,0.0001,128.0,500000.0,0.01
49.45,0.15,0.3,0.0005,0.001,64.0,250000.0,0.01
48.94,0.2,0.15,0.001,0.001,128.0,500000.0,0.0001
48.22,0.25,0.15,0.005,0.005,128.0,500000.0,0.005
47.60,0.2,0.15,0.001,0.005,128.0,500000.0,0.01
47.57,0.25,0.15,0.0005,0.0001,128.0,500000.0,0.001
47.37,0.2,0.15,0.0001,0.005,128.0,500000.0,0.01
46.10,0.2,0.15,0.001,0.0001,128.0,500000.0,0.005
45.68,0.25,0.15,0.0005,0.0001,128.0,500000.0,0.0005
45.22,0.2,0.15,0.0005,0.005,128.0,500000.0,0.001
45.10,0.25,0.15,0.0005,0.0001,128.0,500000.0,0.0001
44.72,0.2,0.15,0.001,0.005,128.0,500000.0,0.0005
42.59,0.2,0.15,0.0001,0.001,128.0,500000.0,0.0001
41.65,0.25,0.15,0.0001,0.001,128.0,500000.0,0.0001
41.50,0.25,0.15,0.0005,0.0001,128.0,500000.0,0.0001
41.23,0.2,0.15,0.001,0.005,128.0,500000.0,0.0001
40.91,0.2,0.15,0.0001,0.001,128.0,500000.0,0.0001
40.46,0.2,0.15,0.001,0.0001,128.0,500000.0,0.0001
39.86,0.2,0.15,0.005,0.0001,128.0,500000.0,0.01
38.78,0.2,0.15,0.0005,0.005,128.0,500000.0,0.0005
38.73,0.2,0.15,0.0005,0.0001,128.0,500000.0,0.005
38.64,0.2,0.15,0.005,0.005,128.0,500000.0,0.0001
38.48,0.25,0.15,0.001,0.0001,128.0,500000.0,0.0001
38.34,0.25,0.15,0.001,0.0001,128.0,500000.0,0.0001
37.99,0.2,0.15,0.0005,0.005,128.0,500000.0,0.01
36.49,0.2,0.15,0.001,0.0001,128.0,500000.0,0.01
36.15,0.2,0.15,0.0001,0.0001,128.0,500000.0,0.0001
35.40,0.2,0.15,0.001,0.005,128.0,500000.0,0.0005
35.36,0.2,0.15,0.0001,0.005,128.0,500000.0,0.005
