reward,horizon,target_kl,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
264.88,8192.0,0.003,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
264.54,8192.0,0.003,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
263.83,8192.0,0.01,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
263.63,8192.0,0.003,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
259.79,8192.0,0.003,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
259.76,8192.0,0.001,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
259.41,8192.0,0.003,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
258.86,8192.0,0.003,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
257.80,8192.0,0.001,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
257.65,8192.0,0.0008,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
257.47,8192.0,0.005,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
257.38,4096.0,0.003,12.0,20.0,0.0005,0.001,512.0,1024.0,0.9
257.14,8192.0,0.01,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
254.61,8192.0,0.005,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
254.29,8192.0,0.007,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
254.06,8192.0,0.001,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
253.38,8192.0,0.0008,4.0,20.0,0.0001,0.005,1024.0,256.0,0.98
252.95,8192.0,0.0008,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
251.98,8192.0,0.0008,4.0,16.0,0.0005,0.005,2048.0,256.0,0.98
250.13,8192.0,0.001,4.0,12.0,0.0001,0.005,2048.0,256.0,0.98
249.88,8192.0,0.0008,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
249.69,8192.0,0.003,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
249.52,8192.0,0.0008,4.0,4.0,0.0001,0.005,256.0,256.0,0.98
249.00,8192.0,0.003,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
248.91,8192.0,0.001,4.0,16.0,0.0001,0.005,2048.0,256.0,0.98
248.76,8192.0,0.0008,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
248.17,8192.0,0.003,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
248.03,8192.0,0.001,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
247.97,8192.0,0.001,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
247.70,8192.0,0.007,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
247.36,8192.0,0.0008,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
247.01,8192.0,0.003,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
245.45,8192.0,0.0008,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
243.82,8192.0,0.0008,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
243.75,8192.0,0.0008,4.0,20.0,0.0001,0.005,256.0,256.0,0.98
243.54,8192.0,0.001,4.0,8.0,0.001,0.0005,2048.0,256.0,0.95
243.29,8192.0,0.005,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
243.25,8192.0,0.001,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
242.47,8192.0,0.001,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
242.22,8192.0,0.003,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
242.19,8192.0,0.001,4.0,20.0,0.0001,0.005,256.0,256.0,0.98
241.18,8192.0,0.001,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
241.10,8192.0,0.001,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
241.08,8192.0,0.01,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
240.58,8192.0,0.001,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
240.26,8192.0,0.001,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
239.77,8192.0,0.0008,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
238.25,8192.0,0.0008,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
236.94,8192.0,0.005,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
236.76,8192.0,0.0008,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
235.98,8192.0,0.0008,4.0,16.0,0.0001,0.005,2048.0,256.0,0.98
235.83,8192.0,0.0008,4.0,4.0,0.0001,0.005,1024.0,256.0,0.98
235.63,8192.0,0.0008,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
235.62,8192.0,0.007,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
235.00,8192.0,0.0008,4.0,4.0,0.0001,0.005,256.0,256.0,0.98
234.94,8192.0,0.005,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
234.88,8192.0,0.0008,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
234.22,8192.0,0.003,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
234.00,8192.0,0.0008,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
233.53,4096.0,0.005,12.0,16.0,0.005,0.001,512.0,1024.0,0.9
232.44,4096.0,0.0008,20.0,12.0,0.0005,0.005,1024.0,256.0,0.95
231.41,8192.0,0.001,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
230.33,8192.0,0.001,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
230.16,4096.0,0.0008,20.0,12.0,0.0001,0.001,512.0,1024.0,0.98
229.99,8192.0,0.007,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
229.67,8192.0,0.007,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
228.85,8192.0,0.0008,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
228.48,8192.0,0.003,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
227.67,8192.0,0.01,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
227.20,8192.0,0.0008,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
225.93,8192.0,0.0008,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
225.70,8192.0,0.0008,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
225.60,8192.0,0.001,4.0,8.0,0.0001,0.0005,2048.0,256.0,0.95
225.08,8192.0,0.01,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
224.90,8192.0,0.005,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
224.33,8192.0,0.001,4.0,4.0,0.0001,0.001,2048.0,256.0,0.98
224.17,8192.0,0.0008,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
224.07,8192.0,0.0008,4.0,8.0,0.001,0.0005,2048.0,256.0,0.95
223.75,8192.0,0.001,4.0,8.0,0.001,0.001,2048.0,256.0,0.95
223.57,8192.0,0.01,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
222.89,8192.0,0.001,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
222.39,8192.0,0.0008,4.0,12.0,0.0001,0.005,2048.0,256.0,0.98
221.95,4096.0,0.0008,20.0,12.0,0.0001,0.0005,256.0,256.0,0.98
221.61,8192.0,0.001,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
221.46,8192.0,0.0008,4.0,12.0,0.0001,0.005,2048.0,256.0,0.98
220.78,8192.0,0.005,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
220.44,8192.0,0.005,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
220.38,8192.0,0.007,4.0,8.0,0.0001,0.005,2048.0,256.0,0.9
220.29,8192.0,0.003,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
220.03,8192.0,0.003,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
219.70,8192.0,0.001,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
219.63,8192.0,0.001,4.0,16.0,0.0001,0.005,2048.0,256.0,0.98
219.28,8192.0,0.007,4.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
218.87,8192.0,0.007,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
218.60,4096.0,0.0008,20.0,12.0,0.0001,0.005,1024.0,256.0,0.98
217.95,8192.0,0.005,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
217.72,8192.0,0.003,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
217.41,8192.0,0.01,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
217.32,8192.0,0.001,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
217.21,8192.0,0.001,4.0,8.0,0.0001,0.0005,2048.0,256.0,0.95
217.05,8192.0,0.003,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
217.00,8192.0,0.003,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
216.44,8192.0,0.001,4.0,20.0,0.0001,0.005,256.0,256.0,0.98
216.12,8192.0,0.007,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
213.51,8192.0,0.003,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
213.40,8192.0,0.0008,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
211.25,8192.0,0.007,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
210.93,8192.0,0.003,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
209.94,8192.0,0.007,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
209.55,8192.0,0.0008,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
